Gamma,Risk,Return
0,0.12742665838116074,0.8602978262630614
1,0.12682998353329356,0.8599653293938123
2,0.12624110837304256,0.8593011177799154
3,0.12548418636895206,0.8580536667574841
4,0.12493198465358239,0.8565543961105814
5,0.12450399929068441,0.8552249059011429
6,0.1240248459444376,0.8536659221700162
7,0.12353950226708366,0.8519418770204197
8,0.12302409488340278,0.8497362140782105
9,0.1225983844977504,0.8476737537353909
10,0.12221604247793375,0.8455038122885845
11,0.12179528892598475,0.8428941501101335
12,0.12130959027646919,0.8393765863223432
13,0.12085424117829294,0.8359231148096586
14,0.12043876377843313,0.8326415372957277
15,0.11998968970098338,0.8288491636113481
16,0.11949587506252302,0.8245258205271041
17,0.1189688996150862,0.819929247775665
18,0.11845066232604959,0.8152933681286829
19,0.11792582691853618,0.8104030775333019
20,0.11740243368403583,0.8052665761623482
21,0.11691580248863949,0.8003352479809495
22,0.11642432539428452,0.7950674570080082
23,0.11594691811342055,0.7897404935476718
24,0.11550813685184173,0.7847738862956739
25,0.11509418489606986,0.7799973559310052
26,0.11469126676512313,0.7752905621287485
27,0.1142886410324663,0.770432055890292
28,0.11388177230458744,0.7653145680369688
29,0.11349534251886458,0.7603288692904703
30,0.11312701995049704,0.7554901628161633
31,0.11276840097158591,0.7507519265338716
32,0.11240166598773929,0.7458409979193947
33,0.11203619409264523,0.7409030525223999
34,0.11166576065865179,0.7357656091838589
35,0.11130206163863207,0.7306559404431168
36,0.11093620616643415,0.7254836200252808
37,0.11056375678525839,0.7201116837433613
38,0.1102019956487961,0.714788963873086
39,0.1098420662489084,0.7093616455168885
40,0.1094843043770148,0.7039314566324583
41,0.10913293515167573,0.698580181786622
42,0.10878463907359022,0.6932200416103702
43,0.10844418161385143,0.6879236443834953
44,0.1081064251057364,0.6826141461900314
45,0.10777512547871397,0.6773729435866447
46,0.10744685179962325,0.6720884565790337
47,0.10712471505855059,0.6668157822304368
48,0.10681306659457039,0.6616455274598773
49,0.10651349980396714,0.6566434500444048
50,0.10622421191030926,0.6517998385481502
51,0.10594537199638634,0.6470751722657527
52,0.1056668804252459,0.6423129818946551
53,0.10538756159101455,0.6375036770299747
54,0.10511550019940352,0.6327617533051042
55,0.10484693152644782,0.6280226071338685
56,0.10458541025101994,0.6233723721835605
57,0.10433142215802474,0.6188037891792721
58,0.1040827283189035,0.6143015384364148
59,0.10384089644607468,0.6098715609886604
60,0.10360643363119593,0.605518512725826
61,0.10338055428951447,0.6012913300773903
62,0.10316358246536947,0.5971997735841011
63,0.10295172871237676,0.5931768048554955
64,0.10273974458141319,0.589145297702688
65,0.1025294941065353,0.5851223943019611
66,0.10232650639041738,0.5811771954532915
67,0.10212188162428815,0.5770403551863633
68,0.10192189429551386,0.5729917360380152
69,0.10172535263560038,0.5690021490607574
70,0.10152960148507748,0.5649903894075008
71,0.10133475895631325,0.5609629559896611
72,0.1011459237571932,0.5570330573480211
73,0.1009627410686694,0.5531982851125772
74,0.10078334927111432,0.5493990150938127
75,0.10060783586188178,0.5456552233313403
76,0.1004380960329287,0.5420117692920006
77,0.10027090255276956,0.5383509159352388
78,0.10010858015364724,0.5347860629369501
79,0.09994646222219347,0.5312033769010107
80,0.09978716556411245,0.5276636319851752
81,0.09963121066174879,0.5241886865340097
82,0.09947776541622406,0.5207604441517105
83,0.09932873874600627,0.5174000099100067
84,0.0991808784541764,0.5140628080924705
85,0.09903585179381444,0.5107828227458752
86,0.09889451278480277,0.5075545051528925
87,0.09875438504831556,0.5043324239902219
88,0.09861752863300563,0.5011762807452387
89,0.09848423076890804,0.498088689171715
90,0.09835342376450004,0.49503403259389545
91,0.09822538388622429,0.49203593033017745
92,0.09809949966384897,0.48907295271592044
93,0.09797686384173655,0.4861780538530767
94,0.09785784950264151,0.4833294747280588
95,0.09774001345861094,0.48048560484864866
